Index,기능,설명,HTTP,path/url,개발 현황,토큰 필요
[auth],이메일 중복 체크,가입 전 이메일 사용 가능 여부 확인,GET,api/auth/check-email/,완료,X
,닉네임 중복 체크,닉네임 사용 가능 여부 확인,GET,api/auth/check-nickname/,완료,X
,이메일 인증 요청,인증 메일 전송,POST,api/auth/email-verify/request/,완료,X
,이메일 인증 확인,메일의 코드를 통한 인증 완료,POST,api/auth/email-verify/verify/,완료,X
,로그인,액세스/리프레시 토큰 발급,POST,api/auth/login/,완료,X
,비밀번호 변경,로그인 사용자 비번 변경,POST,api/auth/password-change/,완료,○
,비번 재설정 요청,비밀번호 재설정 메일 발송,POST,api/auth/password-reset/request/,완료,X
,비번 재설정 코드 검증,재설정 코드 확인,POST,api/auth/password-reset/verify/,완료,X
,비번 재설정 확정,새 비밀번호 설정,POST,api/auth/password-reset/confirm/,완료,X
,회원가입,새 계정 생성,POST,api/auth/signup/,완료,X
,토큰 갱신,리프레시로 새 액세스 발급,POST,api/auth/token/refresh/,완료,X
notifications,목록 조회,알림 리스트,GET,api/notifications/,완료,○
,전체 삭제,모든 알림 삭제,DELETE,api/notifications/delete-all/,완료,○
,전체 읽음,모두 읽음 처리,PUT,api/notifications/mark-all-read/,완료,○
,읽기,알림 상세,GET,api/notifications/{notification_id}/,완료,○
,수정,알림 수정,PUT,api/notifications/{notification_id}/,완료,○
,개별 삭제,알림 삭제,DELETE,api/notifications/{notification_id}/delete/,완료,○
parking,배정,차량 → 주차 슬롯 배정,POST,api/parking/assign/,완료,○
,차트 데이터,통계 차트 데이터,GET,api/parking/chart-data/,완료,○
,주차 완료,배정 건 주차 완료 처리,POST,api/parking/complete/{assignment_id}/,완료,○
,이용 내역,내 주차 히스토리,GET,api/parking/history/,완료,○
,점수 히스토리,주차 점수 이력,GET,api/parking/score-history/,완료,○
,공간 상태 설정,슬롯 상태 수동 조정,POST,api/parking/space/set-status/,완료,○
,금일 통계,오늘의 집계,GET,api/parking/stats/today/,완료,○
push,설정 조회,푸시 사용 여부 등,GET,api/push/setting/,완료,○
,설정 저장,푸시 on/off 저장,POST,api/push/setting/,완료,○
,구독 등록,브라우저 푸시 구독 저장,POST,api/push/subscribe/,완료,○
,구독 해제,푸시 구독 해지,POST,api/push/unsubscribe/,완료,○
user (단수 prefix),주차 스킬 점수 반영,점수/스킬 업데이트,POST,api/user/parking-skill/,완료,○
,내 차량 등록(간이),사용자 차량 등록,POST,api/user/vehicle/,완료,○
users (복수 prefix),내 프로필,현재 사용자 프로필,GET,api/users/me/,완료,○
,내 프로필 수정,닉네임 등 수정,PUT,api/users/me/,완료,○
vehicle-events,전체 이벤트,(관리자) 차량 이벤트 목록,GET,api/vehicle-events/,완료,○
,활성 이벤트,(관리자) 출차 전 이벤트,GET,api/vehicle-events/active/,,○
vehicle-models,모델 목록,차량 모델 리스트,GET,api/vehicle-models/,완료,○
vehicles,내 차량 목록,차량 리스트,GET,api/vehicles/,완료,○
,차량 등록,새 차량 추가,POST,api/vehicles/,,○
,번호판 중복 체크,등록 가능 여부 확인,GET,api/vehicles/check-license/,완료,○
,차량 상태 확인,(내 차?) 상태 조회,GET,api/vehicles/check/,완료,○
,수동 입차,관리자 수동 입차,POST,api/vehicles/manual-entrance/,완료,○
,맵핑 조회,모델/슬롯 매핑 등,GET,api/vehicles/mapping/,완료,○
,푸시 테스트,특정 차량 사용자에게 푸시,POST,api/vehicles/send-push/,완료,○
,상세 조회,차량 상세,GET,api/vehicles/{id}/,완료,○
,수정,차량 수정,PUT,api/vehicles/{id}/,완료,○
,부분 수정,차량 일부 수정,PATCH,api/vehicles/{id}/,완료,○
,삭제,차량 삭제,DELETE,api/vehicles/{id}/,완료,○
,수동 출차,관리자 수동 출차,POST,api/vehicles/{vehicle_id}/manual-exit/,완료,○
,수동 주차완료,관리자 주차 완료 처리,POST,api/vehicles/{vehicle_id}/manual-parking/,완료,○
[Websocket],RPI→장고,Pi → 서버: JPEG 이미지 + 인식 텍스트 전송,WS,ws/upload/,완료,X
,장고→프론트,"관리자 대시보드에서 실시간 {image, text} 수신",WS,ws/stream/,완료,X
,장고→MCU,입출입 전광판,WS,ws/text/,완료,X
,장고→MCU,주차장 기둥 번호판 출력,WS,ws/platedisplay/,완료,X
,젯슨→장고,젯슨에서주차장 정보 수신,WS,ws/jetson/,완료,X
,장고→프론트,주차장 현황 프론트에 전송,WS,ws/parking_status,완료,X
,장고→프론트,관리자페이지 차량 로그,WS,ws/parking-logs/,완료,X
